timestamp,ch1
1701530512.021,-8373.61167354723
1701530512.0249999,-8415.320028700833
1701530512.029,-8364.536865298374
1701530512.033,-8260.891826259116
1701530512.037,-8147.501426637344
1701530512.041,-8085.050652629216
1701530512.045,-8063.414163996478
1701530512.049,-8015.2685064397465
1701530512.053,-8091.532658521254
1701530512.057,-8204.67718895402
1701530512.0609999,-8275.599274110707
1701530512.065,-8273.073526987258
1701530512.069,-8204.096043598181
1701530512.073,-8109.525812807777
1701530512.077,-7980.466840322833
1701530512.0809999,-7746.421724131314
1701530512.085,-7484.1016512038295
1701530512.089,-7269.122573032686
1701530512.093,-7184.27535108034
1701530512.097,-7187.717519726458
1701530512.1009998,-7283.494744717449
1701530512.1049998,-7351.555806583859
1701530512.109,-7388.123260512742
1701530512.113,-7432.022086622965
1701530512.1169999,-7422.343781273817
1701530512.1209998,-7288.322721519795
1701530512.125,-7121.399893927562
1701530512.129,-6961.227293160831
1701530512.133,-6844.081800470567
1701530512.1369998,-6804.340398829031
1701530512.1409998,-6850.384992406964
1701530512.145,-6908.723045435316
1701530512.149,-6950.252586633276
1701530512.1529999,-6977.566418357661
1701530512.1569998,-7028.081360826655
1701530512.1609998,-7105.328989664196
1701530512.165,-7132.754580110858
1701530512.169,-7082.820782997702
1701530512.1729999,-7020.571174689672
1701530512.177,-6991.692720853415
1701530512.181,-7018.581869433149
1701530512.185,-7108.391178654573
1701530512.1890001,-7255.488008914949
1701530512.193,-7406.22817352154
1701530512.197,-7540.852730375855
1701530512.201,-7671.4092697393025
1701530512.2050002,-7748.6568985768445
1701530512.209,-7761.062116749539
1701530512.213,-7785.738442628199
1701530512.217,-7801.407015491369
1701530512.221,-7811.375893518436
1701530512.2250001,-7799.931800357319
1701530512.229,-7748.142808454372
1701530512.233,-7692.732833949666
1701530512.237,-7668.794115638032
1701530512.241,-7677.6901099312445
1701530512.2450001,-7675.544342463535
1701530512.249,-7643.491940914624
1701530512.253,-7612.400664377292
1701530512.257,-7596.262704880561
1701530512.261,-7639.356868190393
1701530512.2649999,-7690.028272870573
1701530512.269,-7699.147784608339
1701530512.273,-7692.7775374385765
1701530512.277,-7726.640430288367
1701530512.281,-7721.343066852459
1701530512.285,-7701.204145098227
1701530512.289,-7648.677545628256
1701530512.293,-7631.220833208661
1701530512.297,-7643.916624059275
